sample,channel,normalized,loss_type,loss_value
0,10m_u_component_of_wind,denormalized,MSE,1.260505199432373
0,10m_v_component_of_wind,denormalized,MSE,2.1885244846343994
0,2m_temperature,denormalized,MSE,124.27720642089844
0,mean_sea_level_pressure,denormalized,MSE,1673587.75
1,10m_u_component_of_wind,denormalized,MSE,2.353846311569214
1,10m_v_component_of_wind,denormalized,MSE,3.5457534790039062
1,2m_temperature,denormalized,MSE,195.25814819335938
1,mean_sea_level_pressure,denormalized,MSE,1309651.625
2,10m_u_component_of_wind,denormalized,MSE,2.273404598236084
2,10m_v_component_of_wind,denormalized,MSE,2.703070640563965
2,2m_temperature,denormalized,MSE,136.91140747070312
2,mean_sea_level_pressure,denormalized,MSE,1748235.5
3,10m_u_component_of_wind,denormalized,MSE,1.3937780857086182
3,10m_v_component_of_wind,denormalized,MSE,1.8190038204193115
3,2m_temperature,denormalized,MSE,151.0001678466797
3,mean_sea_level_pressure,denormalized,MSE,1886958.875
4,10m_u_component_of_wind,denormalized,MSE,1.3151034116744995
4,10m_v_component_of_wind,denormalized,MSE,2.047835350036621
4,2m_temperature,denormalized,MSE,180.5899658203125
4,mean_sea_level_pressure,denormalized,MSE,1548519.0
5,10m_u_component_of_wind,denormalized,MSE,1.3727798461914062
5,10m_v_component_of_wind,denormalized,MSE,2.134472370147705
5,2m_temperature,denormalized,MSE,203.7329559326172
5,mean_sea_level_pressure,denormalized,MSE,1333846.375
6,10m_u_component_of_wind,denormalized,MSE,1.1157903671264648
6,10m_v_component_of_wind,denormalized,MSE,1.6419068574905396
6,2m_temperature,denormalized,MSE,141.42059326171875
6,mean_sea_level_pressure,denormalized,MSE,1916630.625
7,10m_u_component_of_wind,denormalized,MSE,0.857662558555603
7,10m_v_component_of_wind,denormalized,MSE,1.2311289310455322
7,2m_temperature,denormalized,MSE,153.4781494140625
7,mean_sea_level_pressure,denormalized,MSE,1760995.25
8,10m_u_component_of_wind,denormalized,MSE,1.2962278127670288
8,10m_v_component_of_wind,denormalized,MSE,2.0401549339294434
8,2m_temperature,denormalized,MSE,216.44586181640625
8,mean_sea_level_pressure,denormalized,MSE,1637589.5
9,10m_u_component_of_wind,denormalized,MSE,1.5511356592178345
