sample,channel,normalized,mse_loss,psd_loss
0,10m_u_component_of_wind,denormalized,2.46449613571167,1.945629358291626
0,10m_v_component_of_wind,denormalized,2.2151808738708496,2.245933771133423
0,2m_temperature,denormalized,52.14442443847656,2.258397102355957
0,mean_sea_level_pressure,denormalized,158034.625,2.0525548458099365
1,10m_u_component_of_wind,denormalized,11.69363021850586,2.063542127609253
1,10m_v_component_of_wind,denormalized,7.043951988220215,2.1944756507873535
1,2m_temperature,denormalized,387.4912109375,2.1694979667663574
1,mean_sea_level_pressure,denormalized,1633741.5,2.166759967803955
2,10m_u_component_of_wind,denormalized,12.353927612304688,2.027033805847168
2,10m_v_component_of_wind,denormalized,8.023393630981445,2.1342225074768066
2,2m_temperature,denormalized,354.87420654296875,2.1117186546325684
2,mean_sea_level_pressure,denormalized,2079721.25,2.2040488719940186
3,10m_u_component_of_wind,denormalized,4.483982086181641,2.032118320465088
3,10m_v_component_of_wind,denormalized,4.349618911743164,2.236051321029663
3,2m_temperature,denormalized,98.98680114746094,2.2643721103668213
3,mean_sea_level_pressure,denormalized,236725.546875,2.200023651123047
4,10m_u_component_of_wind,denormalized,4.999603271484375,1.9907046556472778
4,10m_v_component_of_wind,denormalized,4.123714923858643,2.266249656677246
4,2m_temperature,denormalized,290.1113586425781,2.2288191318511963
4,mean_sea_level_pressure,denormalized,947176.9375,2.149052858352661
5,10m_u_component_of_wind,denormalized,7.464458465576172,1.9481985569000244
5,10m_v_component_of_wind,denormalized,4.633354187011719,2.2291409969329834
5,2m_temperature,denormalized,151.5732421875,2.176795482635498
5,mean_sea_level_pressure,denormalized,2305157.25,2.2597153186798096
6,10m_u_component_of_wind,denormalized,2.7459144592285156,1.969746708869934
6,10m_v_component_of_wind,denormalized,2.3270158767700195,2.268052339553833
6,2m_temperature,denormalized,108.41539764404297,2.258270740509033
6,mean_sea_level_pressure,denormalized,247848.5,2.240875005722046
7,10m_u_component_of_wind,denormalized,6.816086769104004,1.9041837453842163
7,10m_v_component_of_wind,denormalized,4.898665428161621,2.0540337562561035
7,2m_temperature,denormalized,140.0235595703125,2.165234088897705
7,mean_sea_level_pressure,denormalized,1105384.5,2.1171278953552246
8,10m_u_component_of_wind,denormalized,2.6546831130981445,2.1311511993408203
8,10m_v_component_of_wind,denormalized,3.7853052616119385,2.3976101875305176
8,2m_temperature,denormalized,295.79254150390625,2.429866313934326
8,mean_sea_level_pressure,denormalized,183872.03125,2.2016217708587646
9,10m_u_component_of_wind,denormalized,7.723432540893555,2.024911880493164
9,10m_v_component_of_wind,denormalized,7.671947479248047,2.213693141937256
9,2m_temperature,denormalized,198.6909942626953,2.154366970062256
9,mean_sea_level_pressure,denormalized,1587810.625,2.2818241119384766
10,10m_u_component_of_wind,denormalized,2.584282875061035,1.9221123456954956
10,10m_v_component_of_wind,denormalized,3.063962459564209,2.2196218967437744
10,2m_temperature,denormalized,88.24742126464844,2.1261749267578125
10,mean_sea_level_pressure,denormalized,112672.53125,2.1544759273529053
11,10m_u_component_of_wind,denormalized,5.992900848388672,2.0067362785339355
11,10m_v_component_of_wind,denormalized,6.881339073181152,2.27522611618042
11,2m_temperature,denormalized,245.9968719482422,2.1791090965270996
11,mean_sea_level_pressure,denormalized,834506.875,2.0854074954986572
12,10m_u_component_of_wind,denormalized,13.420764923095703,2.004612445831299
12,10m_v_component_of_wind,denormalized,7.003571033477783,2.212524652481079
12,2m_temperature,denormalized,45.32334899902344,2.0315070152282715
12,mean_sea_level_pressure,denormalized,802901.875,2.1517958641052246
13,10m_u_component_of_wind,denormalized,3.158651828765869,1.9336639642715454
13,10m_v_component_of_wind,denormalized,3.099487781524658,2.223496198654175
13,2m_temperature,denormalized,21.26740264892578,2.146099805831909
13,mean_sea_level_pressure,denormalized,465749.8125,2.1297900676727295
14,10m_u_component_of_wind,denormalized,4.003620624542236,1.960744857788086
14,10m_v_component_of_wind,denormalized,3.5333564281463623,2.220930814743042
14,2m_temperature,denormalized,147.14845275878906,2.2114105224609375
14,mean_sea_level_pressure,denormalized,195980.328125,2.0441346168518066
15,10m_u_component_of_wind,denormalized,7.775862693786621,1.9406449794769287
15,10m_v_component_of_wind,denormalized,5.601593017578125,2.148526191711426
15,2m_temperature,denormalized,29.279518127441406,2.009711980819702
15,mean_sea_level_pressure,denormalized,735236.0,2.0829572677612305
16,10m_u_component_of_wind,denormalized,8.156822204589844,1.9522382020950317
16,10m_v_component_of_wind,denormalized,4.3698554039001465,2.192795991897583
16,2m_temperature,denormalized,33.095455169677734,2.0255520343780518
16,mean_sea_level_pressure,denormalized,192980.640625,2.169193744659424
17,10m_u_component_of_wind,denormalized,5.192496299743652,1.9513983726501465
17,10m_v_component_of_wind,denormalized,5.52975606918335,2.1549222469329834
17,2m_temperature,denormalized,60.610389709472656,2.0289595127105713
17,mean_sea_level_pressure,denormalized,148844.59375,2.0793895721435547
18,10m_u_component_of_wind,denormalized,6.585291862487793,1.94927978515625
18,10m_v_component_of_wind,denormalized,4.471382141113281,2.156540870666504
18,2m_temperature,denormalized,93.13761138916016,2.1424567699432373
