model,channel,loss_type,median,std
PSD-VQVAE,10m_u_component_of_wind,MSE,0.0839954353868961,0.28738367816874666
PSD-VQVAE,10m_u_component_of_wind,PSD,2.29806125164032,0.18853569242413545
PSD-VQVAE,10m_v_component_of_wind,MSE,0.08021051436662671,0.2622027902476751
PSD-VQVAE,10m_v_component_of_wind,PSD,2.6130053997039795,0.1437084387114559
PSD-VQVAE,2m_temperature,MSE,0.25846239924430847,0.4939000377869152
PSD-VQVAE,2m_temperature,PSD,4.998033285140991,0.19568188179603574
PSD-VQVAE,mean_sea_level_pressure,MSE,0.3367985635995865,0.5210375452549195
PSD-VQVAE,mean_sea_level_pressure,PSD,10.218509674072266,0.28585242980888653
Standard VQVAE,10m_u_component_of_wind,MSE,0.128827691078186,0.32093963336229575
Standard VQVAE,10m_u_component_of_wind,PSD,3.061416268348694,0.23433440196041969
Standard VQVAE,10m_v_component_of_wind,MSE,0.09950271248817441,0.10628158199996694
Standard VQVAE,10m_v_component_of_wind,PSD,3.5339877605438232,0.20279247962082617
Standard VQVAE,2m_temperature,MSE,0.36166127026081085,0.3974033341519078
Standard VQVAE,2m_temperature,PSD,5.7786705493927,0.21858880481536433
Standard VQVAE,mean_sea_level_pressure,MSE,0.6224799454212189,0.8437454380077019
Standard VQVAE,mean_sea_level_pressure,PSD,10.656127452850342,0.4119955672340802
