sample,channel,normalized,loss_type,loss_value
0,10m_u_component_of_wind,denormalized,MSE,0.32665690779685974
0,10m_v_component_of_wind,denormalized,MSE,0.5178096890449524
0,2m_temperature,denormalized,MSE,4.554045677185059
0,mean_sea_level_pressure,denormalized,MSE,17867.1796875
1,10m_u_component_of_wind,denormalized,MSE,0.47321587800979614
1,10m_v_component_of_wind,denormalized,MSE,0.6285024881362915
1,2m_temperature,denormalized,MSE,5.405833721160889
1,mean_sea_level_pressure,denormalized,MSE,21821.0859375
2,10m_u_component_of_wind,denormalized,MSE,0.4031826853752136
2,10m_v_component_of_wind,denormalized,MSE,0.6501282453536987
2,2m_temperature,denormalized,MSE,5.078080177307129
2,mean_sea_level_pressure,denormalized,MSE,24689.109375
3,10m_u_component_of_wind,denormalized,MSE,0.38747259974479675
3,10m_v_component_of_wind,denormalized,MSE,0.6813614368438721
3,2m_temperature,denormalized,MSE,5.504111289978027
3,mean_sea_level_pressure,denormalized,MSE,21027.57421875
4,10m_u_component_of_wind,denormalized,MSE,0.3830706477165222
4,10m_v_component_of_wind,denormalized,MSE,0.6783803701400757
4,2m_temperature,denormalized,MSE,6.6901140213012695
4,mean_sea_level_pressure,denormalized,MSE,23969.24609375
5,10m_u_component_of_wind,denormalized,MSE,0.40599554777145386
5,10m_v_component_of_wind,denormalized,MSE,0.6778085231781006
5,2m_temperature,denormalized,MSE,7.720512390136719
5,mean_sea_level_pressure,denormalized,MSE,26530.52734375
6,10m_u_component_of_wind,denormalized,MSE,0.3455180525779724
6,10m_v_component_of_wind,denormalized,MSE,0.5972338914871216
6,2m_temperature,denormalized,MSE,6.75447940826416
6,mean_sea_level_pressure,denormalized,MSE,25296.43359375
7,10m_u_component_of_wind,denormalized,MSE,0.3687525987625122
7,10m_v_component_of_wind,denormalized,MSE,0.5927896499633789
7,2m_temperature,denormalized,MSE,5.993382453918457
7,mean_sea_level_pressure,denormalized,MSE,21907.78515625
8,10m_u_component_of_wind,denormalized,MSE,0.4359443187713623
8,10m_v_component_of_wind,denormalized,MSE,0.6298506259918213
8,2m_temperature,denormalized,MSE,5.769989967346191
8,mean_sea_level_pressure,denormalized,MSE,20198.5234375
9,10m_u_component_of_wind,denormalized,MSE,0.4288140535354614
9,10m_v_component_of_wind,denormalized,MSE,0.6861681938171387
9,2m_temperature,denormalized,MSE,6.908709526062012
9,mean_sea_level_pressure,denormalized,MSE,23961.55078125
10,10m_u_component_of_wind,denormalized,MSE,0.36917686462402344
10,10m_v_component_of_wind,denormalized,MSE,0.6348916292190552
10,2m_temperature,denormalized,MSE,6.46910285949707
10,mean_sea_level_pressure,denormalized,MSE,20548.916015625
11,10m_u_component_of_wind,denormalized,MSE,0.4373628497123718
11,10m_v_component_of_wind,denormalized,MSE,0.6745851039886475
11,2m_temperature,denormalized,MSE,5.333416938781738
11,mean_sea_level_pressure,denormalized,MSE,14218.275390625
12,10m_u_component_of_wind,denormalized,MSE,0.4882464110851288
12,10m_v_component_of_wind,denormalized,MSE,0.6950254440307617
12,2m_temperature,denormalized,MSE,5.896018028259277
12,mean_sea_level_pressure,denormalized,MSE,18274.271484375
13,10m_u_component_of_wind,denormalized,MSE,0.36788463592529297
13,10m_v_component_of_wind,denormalized,MSE,0.6519784927368164
13,2m_temperature,denormalized,MSE,5.399655342102051
