sample,channel,normalized,loss_type,loss_value
0,10m_u_component_of_wind,denormalized,MSE,0.36778390407562256
0,10m_v_component_of_wind,denormalized,MSE,0.5437103509902954
0,2m_temperature,denormalized,MSE,5.181587219238281
0,mean_sea_level_pressure,denormalized,MSE,13639.775390625
1,10m_u_component_of_wind,denormalized,MSE,0.5322296619415283
1,10m_v_component_of_wind,denormalized,MSE,0.711057186126709
1,2m_temperature,denormalized,MSE,7.987823486328125
1,mean_sea_level_pressure,denormalized,MSE,24035.3515625
2,10m_u_component_of_wind,denormalized,MSE,0.4661993980407715
2,10m_v_component_of_wind,denormalized,MSE,0.708963930606842
2,2m_temperature,denormalized,MSE,7.552753448486328
2,mean_sea_level_pressure,denormalized,MSE,29473.990234375
3,10m_u_component_of_wind,denormalized,MSE,0.5036555528640747
3,10m_v_component_of_wind,denormalized,MSE,0.6392931342124939
3,2m_temperature,denormalized,MSE,6.349273681640625
3,mean_sea_level_pressure,denormalized,MSE,22038.142578125
4,10m_u_component_of_wind,denormalized,MSE,0.4807482659816742
4,10m_v_component_of_wind,denormalized,MSE,0.6537678837776184
4,2m_temperature,denormalized,MSE,7.1027913093566895
4,mean_sea_level_pressure,denormalized,MSE,22864.66015625
5,10m_u_component_of_wind,denormalized,MSE,0.45906972885131836
5,10m_v_component_of_wind,denormalized,MSE,0.6377577781677246
5,2m_temperature,denormalized,MSE,7.3960185050964355
5,mean_sea_level_pressure,denormalized,MSE,26496.56640625
6,10m_u_component_of_wind,denormalized,MSE,0.40387916564941406
6,10m_v_component_of_wind,denormalized,MSE,0.6013545989990234
6,2m_temperature,denormalized,MSE,8.659989356994629
6,mean_sea_level_pressure,denormalized,MSE,27923.564453125
7,10m_u_component_of_wind,denormalized,MSE,0.4434986114501953
7,10m_v_component_of_wind,denormalized,MSE,0.6326570510864258
7,2m_temperature,denormalized,MSE,7.96915340423584
7,mean_sea_level_pressure,denormalized,MSE,22585.9296875
8,10m_u_component_of_wind,denormalized,MSE,0.5260729789733887
8,10m_v_component_of_wind,denormalized,MSE,0.7640852928161621
8,2m_temperature,denormalized,MSE,10.744352340698242
8,mean_sea_level_pressure,denormalized,MSE,24634.51953125
9,10m_u_component_of_wind,denormalized,MSE,0.5191677212715149
9,10m_v_component_of_wind,denormalized,MSE,0.8137835264205933
9,2m_temperature,denormalized,MSE,11.887459754943848
9,mean_sea_level_pressure,denormalized,MSE,29215.91015625
10,10m_u_component_of_wind,denormalized,MSE,0.4813207983970642
10,10m_v_component_of_wind,denormalized,MSE,0.6338605880737305
10,2m_temperature,denormalized,MSE,10.142990112304688
10,mean_sea_level_pressure,denormalized,MSE,26231.2734375
11,10m_u_component_of_wind,denormalized,MSE,0.4935744106769562
11,10m_v_component_of_wind,denormalized,MSE,0.7551458477973938
11,2m_temperature,denormalized,MSE,6.985590934753418
11,mean_sea_level_pressure,denormalized,MSE,15552.02734375
12,10m_u_component_of_wind,denormalized,MSE,0.5330849289894104
12,10m_v_component_of_wind,denormalized,MSE,0.7187495231628418
12,2m_temperature,denormalized,MSE,7.720844268798828
12,mean_sea_level_pressure,denormalized,MSE,17879.12890625
13,10m_u_component_of_wind,denormalized,MSE,0.393722802400589
13,10m_v_component_of_wind,denormalized,MSE,0.6076898574829102
13,2m_temperature,denormalized,MSE,6.709705352783203
13,mean_sea_level_pressure,denormalized,MSE,18010.697265625
14,10m_u_component_of_wind,denormalized,MSE,0.45277100801467896
14,10m_v_component_of_wind,denormalized,MSE,0.6130682229995728
14,2m_temperature,denormalized,MSE,6.311963081359863
14,mean_sea_level_pressure,denormalized,MSE,12934.1923828125
15,10m_u_component_of_wind,denormalized,MSE,0.48290231823921204
15,10m_v_component_of_wind,denormalized,MSE,0.5376224517822266
15,2m_temperature,denormalized,MSE,5.389005184173584
15,mean_sea_level_pressure,denormalized,MSE,11870.34765625
16,10m_u_component_of_wind,denormalized,MSE,0.4499237537384033
16,10m_v_component_of_wind,denormalized,MSE,0.6898514032363892
16,2m_temperature,denormalized,MSE,5.586082935333252
16,mean_sea_level_pressure,denormalized,MSE,17658.919921875
17,10m_u_component_of_wind,denormalized,MSE,0.4109913110733032
17,10m_v_component_of_wind,denormalized,MSE,0.6260929107666016
17,2m_temperature,denormalized,MSE,5.361759662628174
17,mean_sea_level_pressure,denormalized,MSE,13651.48828125
18,10m_u_component_of_wind,denormalized,MSE,0.49952632188796997
18,10m_v_component_of_wind,denormalized,MSE,0.6440483331680298
18,2m_temperature,denormalized,MSE,4.747941017150879
18,mean_sea_level_pressure,denormalized,MSE,10243.9619140625
19,10m_u_component_of_wind,denormalized,MSE,0.45280158519744873
19,10m_v_component_of_wind,denormalized,MSE,0.5162422060966492
19,2m_temperature,denormalized,MSE,5.887228965759277
19,mean_sea_level_pressure,denormalized,MSE,11791.669921875
20,10m_u_component_of_wind,denormalized,MSE,0.4600480794906616
20,10m_v_component_of_wind,denormalized,MSE,0.6552941203117371
20,2m_temperature,denormalized,MSE,5.08978271484375
20,mean_sea_level_pressure,denormalized,MSE,18485.400390625
21,10m_u_component_of_wind,denormalized,MSE,0.4162523150444031
21,10m_v_component_of_wind,denormalized,MSE,0.5035113096237183
21,2m_temperature,denormalized,MSE,5.403197288513184
21,mean_sea_level_pressure,denormalized,MSE,15509.228515625
22,10m_u_component_of_wind,denormalized,MSE,0.40140998363494873
22,10m_v_component_of_wind,denormalized,MSE,0.6408609747886658
22,2m_temperature,denormalized,MSE,5.024452209472656
22,mean_sea_level_pressure,denormalized,MSE,8980.5673828125
23,10m_u_component_of_wind,denormalized,MSE,0.41531527042388916
23,10m_v_component_of_wind,denormalized,MSE,0.4645605683326721
23,2m_temperature,denormalized,MSE,4.245537757873535
23,mean_sea_level_pressure,denormalized,MSE,9602.5771484375
24,10m_u_component_of_wind,denormalized,MSE,0.38027453422546387
24,10m_v_component_of_wind,denormalized,MSE,0.5620993375778198
24,2m_temperature,denormalized,MSE,5.101662635803223
24,mean_sea_level_pressure,denormalized,MSE,11636.951171875
25,10m_u_component_of_wind,denormalized,MSE,0.36289408802986145
25,10m_v_component_of_wind,denormalized,MSE,0.6164186000823975
25,2m_temperature,denormalized,MSE,5.802730560302734
25,mean_sea_level_pressure,denormalized,MSE,10656.896484375
26,10m_u_component_of_wind,denormalized,MSE,0.3633778989315033
26,10m_v_component_of_wind,denormalized,MSE,0.4446895122528076
26,2m_temperature,denormalized,MSE,5.932825088500977
26,mean_sea_level_pressure,denormalized,MSE,8722.708984375
27,10m_u_component_of_wind,denormalized,MSE,0.33237165212631226
27,10m_v_component_of_wind,denormalized,MSE,0.47895240783691406
27,2m_temperature,denormalized,MSE,4.760767459869385
27,mean_sea_level_pressure,denormalized,MSE,7886.7890625
28,10m_u_component_of_wind,denormalized,MSE,0.3574712872505188
28,10m_v_component_of_wind,denormalized,MSE,0.5163310766220093
28,2m_temperature,denormalized,MSE,5.590299606323242
28,mean_sea_level_pressure,denormalized,MSE,8509.62890625
29,10m_u_component_of_wind,denormalized,MSE,0.3403826057910919
29,10m_v_component_of_wind,denormalized,MSE,0.49189600348472595
29,2m_temperature,denormalized,MSE,5.01557731628418
29,mean_sea_level_pressure,denormalized,MSE,13936.1025390625
30,10m_u_component_of_wind,denormalized,MSE,0.35963577032089233
30,10m_v_component_of_wind,denormalized,MSE,0.5722319483757019
30,2m_temperature,denormalized,MSE,5.286008834838867
30,mean_sea_level_pressure,denormalized,MSE,10141.134765625
31,10m_u_component_of_wind,denormalized,MSE,0.3538754880428314
31,10m_v_component_of_wind,denormalized,MSE,0.587063193321228
31,2m_temperature,denormalized,MSE,6.132514953613281
31,mean_sea_level_pressure,denormalized,MSE,9975.2431640625
32,10m_u_component_of_wind,denormalized,MSE,0.39185160398483276
32,10m_v_component_of_wind,denormalized,MSE,0.4997332692146301
32,2m_temperature,denormalized,MSE,7.547580242156982
32,mean_sea_level_pressure,denormalized,MSE,11586.638671875
33,10m_u_component_of_wind,denormalized,MSE,0.2964867651462555
33,10m_v_component_of_wind,denormalized,MSE,0.5011413097381592
33,2m_temperature,denormalized,MSE,5.959929466247559
33,mean_sea_level_pressure,denormalized,MSE,11540.1669921875
34,10m_u_component_of_wind,denormalized,MSE,0.33857566118240356
34,10m_v_component_of_wind,denormalized,MSE,0.5478212237358093
34,2m_temperature,denormalized,MSE,6.737515449523926
34,mean_sea_level_pressure,denormalized,MSE,8418.66796875
35,10m_u_component_of_wind,denormalized,MSE,0.3251187205314636
